   1 	    13.7320 
   2 	    23.1436 
   3 	    32.5007 
   4 	    51.3646 
   5 	    60.7221 
   6 	    70.1735 
   7 	    79.5697 
   8 	    88.9869 
   9 	    98.4134 
  10 	   107.8246 
  11 	   117.2569 
  12 	   126.5625 
  13 	   136.0952 
  14 	   145.4802 
  15 	   154.9026 
  16 	   164.3312 
  17 	   173.7010 
  18 	   183.1559 
  19 	   192.5029 
  20 	   201.9179 
  21 	   211.2959 
  22 	   220.7114 
  23 	   230.1571 
  24 	   239.5864 
  25 	   248.9685 
  26 	   258.3531 
  27 	   267.7779 
